user_score,publisher,rating,title,metascore,platform,genre,developer
5.7,Ubisoft,E10+,Just Dance 2015,72,PS4,"Action,Miscellaneous,Rhythm,Dancing",Ubisoft
4.1,SCEE,,SingStar: Ultimate Party,47,PS4,"Miscellaneous,Rhythm,Music",SCEE
7.5,Majesco Games,M,Shadow Warrior,70,PS4,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",Flying Wild Hog
7.4,SCEA,E10+,The Unfinished Swan,83,PS4,"Action,Adventure,General,3D,First-Person",Armature Studio
8.4,Telltale Games,M,The Wolf Among Us,83,PS4,"Action Adventure,Adventure,General,Fantasy,Point-and-Click",Telltale Games
6.6,Beatshapers,T,#KILLALLZOMBIES,63,PS4,"Action,Shooter,Third-Person,Shoot-'Em-Up,Sci-Fi,Top-Down",Beatshapers
6.5,Bandai Namco Games,M,Lords of the Fallen,68,PS4,"Action RPG,Role-Playing,Action RPG","City Interactive, Deck 13"
5.7,Activision,M,Call of Duty: Advanced Warfare,83,PS4,"Action,Shooter,First-Person,Modern,Arcade",Sledgehammer Games
5.6,Electronic Arts,E,NBA Live 15,59,PS4,"Sports,Traditional,Team,Basketball,Arcade",EA Sports
6.8,Majesco Games,E10+,Costume Quest 2,74,PS4,"Role-Playing,Action RPG,Japanese-Style",Double Fine Productions
7.5,Ubisoft,T,Rocksmith 2014 Edition,82,PS4,"Action,Miscellaneous,Rhythm,Music",Ubisoft
7.7,Nicalis,M,The Binding of Isaac: Rebirth,88,PS4,"Horror,Action,Action Adventure,Shooter,Survival,Shoot-'Em-Up,Top-Down",Nicalis
6.0,Shin'en,E,Nano Assault NEO-X,66,PS4,"Action,Shooter,Scrolling,Shoot-'Em-Up,Top-Down",Shin'en
7.5,505 Games,T,Terraria,83,PS4,"Action,Action Adventure,Platformer,Sandbox,2D",Engine Software
6.4,Bandai Namco Games,E,MotoGP 14,73,PS4,"Driving,Racing,Simulation,Motorcycle,Automobile,Street",Milestone S.r.l
6.3,505 Games,M,How to Survive: Storm Warning Edition,65,PS4,"Action Adventure,Horror,Survival",EKO Software
